107.35 	51.17 	209.22 	5087.94 	0.10 	43774.43 	4.46 	2.06 	7.83 	149.70 	0.01 	61.24 	31.37 	5.39 	108.31 	5087.94 	0.01 	11730.47 	piano
154.43 	74.15 	298.67 	6643.50 	0.03 	89205.06 	10.77 	5.08 	19.74 	375.92 	0.01 	389.65 	52.28 	11.84 	159.61 	6643.50 	0.01 	25475.48 	piano
34.24 	14.72 	77.44 	1965.93 	0.06 	5997.09 	0.28 	0.14 	0.65 	19.60 	0.00 	0.43 	8.94 	0.41 	39.44 	1965.93 	0.00 	1555.13 	piano
20.81 	8.37 	51.57 	1181.70 	0.03 	2659.35 	0.14 	0.12 	0.15 	5.25 	0.00 	0.02 	5.05 	0.21 	25.77 	1181.70 	0.00 	664.17 	piano
54.10 	17.45 	162.88 	4557.65 	0.09 	26531.07 	2.14 	0.82 	5.19 	152.56 	0.00 	26.89 	15.86 	2.45 	80.35 	4557.65 	0.00 	6455.93 	piano
46.29 	18.23 	103.74 	1998.88 	0.09 	10762.42 	0.76 	0.23 	1.93 	58.98 	0.00 	3.74 	12.05 	1.03 	52.52 	1998.88 	0.00 	2758.47 	piano
41.09 	19.05 	81.11 	1632.52 	0.05 	6579.30 	0.84 	0.35 	1.96 	45.30 	0.00 	3.84 	12.05 	1.07 	43.83 	1632.52 	0.00 	1920.67 	piano
139.40 	65.72 	244.66 	4746.16 	0.18 	59857.11 	12.81 	5.12 	26.11 	468.35 	0.00 	681.84 	50.70 	13.95 	135.45 	4746.16 	0.00 	18346.56 	piano
60.81 	26.58 	127.26 	3849.19 	0.05 	16194.74 	1.58 	0.55 	4.00 	105.57 	0.00 	16.00 	17.95 	1.89 	67.94 	3849.19 	0.00 	4616.41 	piano
67.58 	31.02 	125.41 	2043.66 	0.09 	15726.49 	2.26 	0.85 	5.10 	140.68 	0.00 	26.00 	19.00 	2.64 	65.72 	2043.66 	0.00 	4318.63 	piano
25.03 	8.38 	73.29 	2939.10 	0.03 	5371.81 	0.33 	0.25 	0.83 	31.18 	0.00 	0.70 	6.27 	0.37 	36.05 	2939.10 	0.00 	1299.44 	piano
141.90 	67.56 	256.80 	4391.58 	0.15 	65946.71 	11.95 	4.77 	24.16 	506.48 	0.01 	583.52 	53.14 	13.73 	142.83 	4391.58 	0.01 	20400.72 	piano
91.01 	42.44 	184.59 	5553.77 	0.10 	34073.73 	9.67 	3.12 	26.04 	755.14 	0.01 	678.13 	35.15 	9.86 	101.02 	5553.77 	0.01 	10204.90 	piano
16.60 	7.33 	40.85 	1431.57 	0.01 	1668.35 	0.12 	0.08 	0.19 	5.01 	0.00 	0.04 	4.01 	0.16 	20.44 	1431.57 	0.00 	417.72 	piano
85.35 	39.00 	166.40 	4284.83 	0.13 	27687.31 	1.39 	0.50 	3.54 	96.52 	0.00 	12.55 	22.83 	1.74 	87.90 	4284.83 	0.00 	7726.00 	piano
112.04 	50.23 	207.87 	3567.64 	0.05 	43209.76 	3.32 	1.21 	7.66 	147.28 	0.00 	58.68 	29.94 	3.81 	108.23 	3567.64 	0.00 	11714.18 	piano
102.66 	44.82 	215.85 	5695.44 	0.21 	46589.17 	1.79 	0.64 	4.56 	106.26 	0.00 	20.80 	26.36 	2.06 	110.35 	5695.44 	0.00 	12176.93 	piano
179.08 	76.80 	389.23 	7948.70 	0.17 	151500.57 	5.68 	2.15 	12.57 	237.21 	0.01 	158.01 	49.68 	6.31 	199.33 	7948.70 	0.01 	39732.52 	piano
137.95 	61.43 	272.86 	5689.39 	0.13 	74453.31 	2.99 	1.00 	8.11 	306.14 	0.00 	65.72 	37.06 	3.48 	142.03 	5689.39 	0.00 	20171.60 	piano
228.75 	108.39 	421.45 	7590.49 	0.10 	177623.79 	9.66 	4.12 	18.85 	460.34 	0.01 	355.42 	66.02 	11.01 	220.57 	7590.49 	0.01 	48650.51 	piano
150.88 	67.30 	292.65 	5027.54 	0.13 	85641.12 	6.19 	2.58 	11.84 	198.04 	0.01 	140.20 	45.63 	7.30 	154.48 	5027.54 	0.01 	23863.49 	piano
155.62 	62.92 	337.76 	7286.29 	0.13 	114081.84 	3.40 	1.22 	8.15 	152.18 	0.00 	66.45 	41.03 	3.89 	172.15 	7286.29 	0.00 	29634.54 	piano
112.87 	49.24 	222.41 	5548.69 	0.09 	49467.50 	1.96 	0.64 	5.41 	217.32 	0.00 	29.24 	29.48 	2.27 	115.81 	5548.69 	0.00 	13412.58 	piano
281.88 	134.64 	516.81 	10425.50 	0.32 	267094.37 	14.66 	6.55 	26.03 	526.67 	0.02 	677.40 	86.61 	17.13 	272.28 	10425.50 	0.02 	74136.51 	piano
62.30 	28.68 	123.86 	3513.12 	0.20 	15340.41 	0.89 	0.34 	2.19 	57.33 	0.00 	4.80 	16.52 	1.14 	65.05 	3513.12 	0.00 	4231.67 	piano
78.50 	35.20 	149.78 	2608.03 	0.20 	22434.25 	2.04 	0.75 	4.69 	90.75 	0.00 	21.96 	20.82 	2.42 	77.65 	2608.03 	0.00 	6028.84 	piano
72.27 	31.84 	154.42 	4438.65 	0.19 	23846.10 	1.07 	0.39 	2.70 	74.23 	0.00 	7.28 	18.50 	1.30 	78.84 	4438.65 	0.00 	6215.55 	piano
117.67 	49.73 	256.96 	5816.47 	0.19 	66026.90 	3.29 	1.28 	7.21 	139.68 	0.00 	51.93 	32.28 	3.79 	131.43 	5816.47 	0.00 	17274.46 	piano
92.73 	39.35 	194.54 	4239.19 	0.16 	37845.41 	1.67 	0.60 	4.62 	186.82 	0.00 	21.37 	24.73 	2.00 	100.38 	4239.19 	0.00 	10075.87 	piano
150.58 	71.32 	277.58 	5381.22 	0.31 	77052.93 	5.69 	2.51 	10.92 	320.21 	0.00 	119.26 	43.08 	6.85 	145.35 	5381.22 	0.00 	21126.96 	piano
102.75 	46.98 	200.76 	3516.86 	0.21 	40306.13 	3.69 	1.56 	7.04 	126.56 	0.00 	49.52 	30.78 	4.57 	105.95 	3516.86 	0.00 	11226.44 	piano
104.88 	43.00 	228.86 	4821.94 	0.26 	52374.95 	2.00 	0.75 	4.71 	86.66 	0.00 	22.14 	27.52 	2.41 	116.62 	4821.94 	0.00 	13599.27 	piano
76.65 	33.83 	155.53 	4317.82 	0.07 	24190.63 	1.21 	0.42 	3.35 	134.33 	0.00 	11.21 	19.94 	1.42 	80.62 	4317.82 	0.00 	6499.70 	piano
182.71 	85.30 	336.14 	6317.59 	0.18 	112990.96 	8.41 	3.83 	14.78 	293.03 	0.01 	218.46 	55.78 	10.37 	177.48 	6317.59 	0.01 	31497.74 	piano
221.31 	102.81 	356.05 	5221.62 	0.21 	126769.89 	13.86 	7.59 	19.83 	464.68 	0.02 	393.26 	69.62 	16.88 	191.27 	5221.62 	0.02 	36583.77 	piano
427.29 	208.35 	716.05 	11918.16 	0.25 	512724.84 	32.09 	18.84 	45.90 	1012.28 	0.03 	2106.85 	138.50 	38.13 	380.62 	11918.16 	0.03 	144874.19 	piano
